ZIPcode,Population,state,income_density,family_density,Total_Visit_lowes_density,store_type
33993,22468,FL,26.44868257,0.899145451,0,1
33496,22007,FL,47.00527105,0.819284773,0,1
32536,21894,FL,25.81250571,0.881246003,0,1
34202,21871,FL,52.4138814,0.894700745,0,1
34957,21848,FL,20.824881,0.732607104,0,1
33556,21712,FL,61.53380619,0.92524871,0,1
33455,21700,FL,23.99774194,0.803917051,0,1
37215,21691,TN,70.12968512,0.731824259,0,1
32751,21620,FL,37.13293247,0.786170213,0,1
32080,21560,FL,27.72476809,0.749397032,0,1
37412,21438,TN,16.88305812,0.78706036,0,1
37091,21391,TN,17.92286476,0.84203637,0,1
34769,21314,FL,20.64802477,0.812001501,0,1
35126,21253,AL,19.56547311,0.902084412,0,1
35205,21141,AL,16.07965565,0.420226101,0,1
35633,21085,AL,16.37329855,0.868579559,0,1
37615,21085,TN,26.47341712,0.842257529,0,1
33811,20793,FL,26.40311643,0.867792045,0,1
33558,20735,FL,47.2005305,0.858210755,0,1
37865,20641,TN,20.72355991,0.852042052,0,1
34219,20609,FL,36.64559173,0.88990247,0,1
35749,20446,AL,34.76376797,0.901203169,0,1
32444,20397,FL,21.9352846,0.849977938,0,1
33603,20267,FL,21.19879607,0.729905758,0,1
33405,20265,FL,25.20291142,0.730767333,0,1
33432,20178,FL,60.50837546,0.644067797,0,1
37212,20130,TN,32.0514158,0.358867362,0,1
32311,20103,FL,27.45744416,0.800626772,0,1
36870,20057,AL,15.65932094,0.916438151,0,1
34480,20024,FL,24.77781662,0.883639632,0,1
32829,19968,FL,23.43269231,0.870592949,0,1
33950,19958,FL,21.74561579,0.781641447,0,1
36507,19760,AL,15.89387652,0.831882591,0,1
36092,19739,AL,17.20446831,0.826080349,0,1
32713,19707,FL,25.56781854,0.817476024,0,1
37069,19614,TN,50.45324768,0.924951565,0,1
33472,19558,FL,23.77298292,0.862460374,0,1
33901,19475,FL,20.15173299,0.664184852,0,1
37774,19095,TN,20.65341712,0.859387274,0,1
33304,19026,FL,47.39351414,0.515662777,0,1
36575,18968,AL,20.47132012,0.903785323,0,1
32967,18957,FL,24.62304162,0.831144168,0,1
36693,18867,AL,19.30349287,0.8387661,0,1
33991,18626,FL,29.05465478,0.862504027,0,1
34238,18606,FL,29.15392884,0.760184887,0,1
33606,18534,FL,52.36856588,0.459156145,0,1
37216,18479,TN,27.79490232,0.733860057,0,1
34685,18429,FL,32.12909002,0.863855879,0,1
33431,18380,FL,39.62758433,0.695048966,0,1
37015,18361,TN,20.12875116,0.837536082,0,1
32836,18351,FL,50.3242875,0.811835867,0,1
36203,18138,AL,19.14544051,0.850589922,45.23210938,1
34233,17849,FL,22.58350608,0.793041627,0,1
34714,17776,FL,25.57313231,0.874493699,33.88596985,1
33759,17762,FL,24.68421349,0.71726157,0,1
32934,17692,FL,29.8778544,0.859710604,0,1
34695,17679,FL,31.9461508,0.811810623,0,1
35674,17674,AL,18.66068802,0.832296028,0,1
32804,17565,FL,42.30657558,0.646285226,0,1
35661,17519,AL,20.12843199,0.844454592,53.69650094,1
37938,17486,TN,24.98924854,0.89071257,0,1
33487,17426,FL,42.78979686,0.757603581,0,1
33187,17421,FL,23.65857299,0.945123701,0,1
34275,17377,FL,25.60159982,0.758991771,0,1
35976,17168,AL,18.39853215,0.836498136,57.89626048,1
34145,17148,FL,33.74142757,0.807790996,0,1
38112,17073,TN,16.6889826,0.70456276,0,1
35243,16870,AL,50.40687611,0.758150563,0,1
37127,16834,TN,27.32184864,0.843590353,0,1
33635,16655,FL,27.02491744,0.82395677,40.32422696,1
33897,16609,FL,26.93039918,0.851285448,0,1
32226,16568,FL,32.45950024,0.901315789,0,1
33716,16565,FL,28.4699668,0.599034108,0,1
33777,16549,FL,25.74107197,0.800531754,0,1
34108,16548,FL,52.07173072,0.782451051,0,1
37725,16501,TN,19.1269014,0.842494394,0,1
33704,16387,FL,46.62793678,0.726124367,0,1
35080,16381,AL,33.00872963,0.891520664,0,1
35016,16348,AL,18.02483484,0.858147786,0,1
37210,16326,TN,17.54116134,0.658703908,0,1
38139,16319,TN,60.80734114,0.944665727,54.79208285,1
35111,16284,AL,24.11317858,0.904691722,0,1
37208,16251,TN,32.10583964,0.63473017,0,1
33131,16228,FL,107.3840892,0.610857777,0,1
33706,16130,FL,36.19634222,0.660260384,0,1
33912,16121,FL,32.76893493,0.771850381,0,1
36804,16106,AL,20.81665218,0.859679623,0,1
34715,16071,FL,32.13266132,0.835231162,0,1
35040,16059,AL,24.61242917,0.884363908,0,1
34212,16032,FL,45.10061128,0.908932136,0,1
33549,16025,FL,28.26845554,0.833634945,69.49447738,1
33572,15951,FL,48.46511191,0.851545358,0,1
37932,15947,TN,43.13939926,0.876214962,0,1
37377,15933,TN,35.3931463,0.903721835,0,1
36054,15917,AL,17.42734184,0.885908149,0,1
36619,15911,AL,17.54698008,0.872729558,68.01313557,1
32766,15905,FL,35.68858849,0.925243634,0,1
33708,15869,FL,27.64068309,0.672821224,0,1
37771,15866,TN,18.90381949,0.888314635,0,1
33545,15821,FL,34.64414386,0.923708994,0,1
37405,15800,TN,37.41670886,0.65664557,0,1
35475,15797,AL,27.13002469,0.922327024,0,1
35473,15734,AL,20.31288928,0.84333291,0,1
34105,15685,FL,45.24360854,0.790117947,0,1
35406,15639,AL,36.62964384,0.865720315,0,1
34984,15524,FL,22.79856996,0.890170059,0,1
36305,15519,AL,26.5194278,0.84174238,0,1
38343,15499,TN,16.17181754,0.837215304,0,1
37763,15394,TN,21.94380928,0.836169936,0,1
37909,15319,TN,20.78170899,0.656635551,0,1
33413,15286,FL,21.76278948,0.917244537,0,1
35763,15282,AL,50.98953017,0.910613794,36.79184662,1
33637,15241,FL,21.10143691,0.73492553,0,1
36106,15224,AL,19.08585129,0.715843405,0,1
32408,15200,FL,24.86315789,0.731907895,0,1
34736,15161,FL,32.45801728,0.88292329,0,1
33527,15129,FL,20.49738912,0.86469694,0,1
35121,15080,AL,15.73779841,0.835145889,0,1
34117,15015,FL,23.5962704,0.911888112,0,1
33146,14914,FL,50.926512,0.589714362,0,1
33701,14848,FL,48.8870555,0.437365302,0,1
33616,14827,FL,26.56484791,0.770621164,0,1
37416,14815,TN,19.83077962,0.798042524,0,1
35120,14796,AL,21.70694782,0.895174371,0,1
37663,14739,TN,21.60451862,0.842662324,0,1
35094,14735,AL,19.27539871,0.862436376,0,1
35645,14731,AL,18.70388976,0.892539542,0,1
36854,14711,AL,16.60247434,0.854530623,0,1
32615,14697,FL,22.4887392,0.829829217,0,1
33019,14696,FL,38.80212303,0.719379423,0,1
33154,14645,FL,47.9909184,0.769819051,0,1
32011,14601,FL,23.52051229,0.901993014,0,1
36571,14588,AL,24.13634494,0.856937209,0,1
35180,14444,AL,19.0631404,0.851703129,0,1
32963,14354,FL,66.64114533,0.814058799,0,1
32968,14353,FL,22.24008918,0.872988225,0,1
32176,14348,FL,25.2392668,0.735363814,0,1
33598,14341,FL,29.67519699,0.8986821,0,1
34114,14319,FL,32.62755779,0.836161743,0,1
38120,14273,TN,56.13872346,0.816016254,0,1
36541,14218,AL,17.53383036,0.913560276,0,1
32317,14206,FL,30.94516402,0.8925806,0,1
37188,14190,TN,28.6017618,0.889781536,0,1
32653,14161,FL,26.98926629,0.843090177,0,1
35045,14121,AL,15.8443453,0.831031797,0,1
36567,14120,AL,15.8516289,0.863172805,0,1
33812,14077,FL,26.92505505,0.935710734,0,1
35757,14070,AL,34.73773987,0.882302772,64.42878465,1
34241,14052,FL,28.40278964,0.882152007,0,1
37874,14009,TN,16.80748091,0.884431437,0,1
32931,13996,FL,27.23342384,0.71127465,0,1
37090,13963,TN,32.41767528,0.859414166,0,1
37073,13961,TN,23.89527971,0.873934532,0,1
35213,13925,AL,57.96524237,0.84940754,0,1
35210,13763,AL,23.16101141,0.734142265,0,1
33498,13749,FL,36.55851335,0.909520692,0,1
32903,13642,FL,35.38036945,0.800908958,0,1
37617,13552,TN,19.59282763,0.821133412,0,1
37398,13499,TN,20.28076154,0.822134973,0,1
33190,13479,FL,22.38993991,0.916759404,0,1
33301,13463,FL,96.17700364,0.535838966,0,1
33330,13457,FL,52.32146838,0.923459909,0,1
34134,13425,FL,51.04476723,0.775121043,0,1
36542,13315,AL,19.47082238,0.806158468,0,1
33602,13269,FL,64.67895094,0.465219685,0,1
38103,13253,TN,45.75643251,0.347166679,0,1
33412,13186,FL,39.64735325,0.914227211,0,1
